#Iteration	 RMSE	               Rel. Err.
426	     4.147792e-02	     1.982331e-02
427	     4.139270e-02	     1.978258e-02
428	     4.136789e-02	     1.977073e-02
429	     4.132363e-02	     1.974957e-02
430	     4.128028e-02	     1.972886e-02
431	     4.120375e-02	     1.969228e-02
432	     4.117482e-02	     1.967845e-02
433	     4.113512e-02	     1.965948e-02
434	     4.108510e-02	     1.963557e-02
435	     4.101599e-02	     1.960254e-02
436	     4.098495e-02	     1.958771e-02
437	     4.097623e-02	     1.958354e-02
438	     4.092106e-02	     1.955718e-02
439	     4.090803e-02	     1.955095e-02
440	     4.080390e-02	     1.950118e-02
441	     4.079033e-02	     1.949470e-02
442	     4.073625e-02	     1.946885e-02
443	     4.072477e-02	     1.946336e-02
444	     4.062116e-02	     1.941385e-02
445	     4.060768e-02	     1.940740e-02
446	     4.055406e-02	     1.938178e-02
447	     4.054359e-02	     1.937677e-02
448	     4.043987e-02	     1.932720e-02
449	     4.042712e-02	     1.932111e-02
450	     4.037330e-02	     1.929539e-02
451	     4.033916e-02	     1.927907e-02
452	     4.032683e-02	     1.927318e-02
453	     4.028112e-02	     1.925133e-02
454	     4.025138e-02	     1.923712e-02
455	     4.016684e-02	     1.919671e-02
456	     4.014702e-02	     1.918724e-02
457	     4.010140e-02	     1.916544e-02
458	     4.007330e-02	     1.915201e-02
459	     3.998862e-02	     1.911154e-02
460	     3.996823e-02	     1.910179e-02
461	     3.992355e-02	     1.908044e-02
462	     3.989679e-02	     1.906765e-02
463	     3.981165e-02	     1.902696e-02
464	     3.979257e-02	     1.901784e-02
465	     3.974716e-02	     1.899614e-02
466	     3.972428e-02	     1.898520e-02
467	     3.963643e-02	     1.894322e-02
468	     3.961940e-02	     1.893508e-02
469	     3.957247e-02	     1.891265e-02
470	     3.955509e-02	     1.890434e-02
471	     3.946292e-02	     1.886029e-02
472	     3.944863e-02	     1.885347e-02
473	     3.939947e-02	     1.882997e-02
474	     3.938942e-02	     1.882517e-02
475	     3.929116e-02	     1.877821e-02
476	     3.928047e-02	     1.877310e-02
477	     3.922820e-02	     1.874812e-02
478	     3.919723e-02	     1.873331e-02
479	     3.918754e-02	     1.872868e-02
480	     3.914125e-02	     1.870656e-02
481	     3.912634e-02	     1.869944e-02
482	     3.903397e-02	     1.865529e-02
483	     3.902317e-02	     1.865013e-02
484	     3.897205e-02	     1.862570e-02
485	     3.894191e-02	     1.861129e-02
486	     3.893224e-02	     1.860667e-02
487	     3.888645e-02	     1.858478e-02
488	     3.887124e-02	     1.857752e-02
489	     3.878070e-02	     1.853424e-02
490	     3.876990e-02	     1.852908e-02
491	     3.871978e-02	     1.850513e-02
492	     3.868958e-02	     1.849070e-02
493	     3.868007e-02	     1.848615e-02
494	     3.863542e-02	     1.846481e-02
495	     3.862126e-02	     1.845804e-02
496	     3.853135e-02	     1.841508e-02
